iter	Passed	Remaining
0	141	140977
1	141	70674
2	142	47231
3	142	35506
4	143	28475
5	143	23787
6	144	20436
7	144	17922
8	145	15966
9	145	14399
10	145	13119
11	146	12052
12	146	11149
13	147	10377
14	147	9706
15	148	9118
16	148	8600
17	149	8139
18	149	7728
19	150	7356
20	150	7021
21	151	6715
22	151	6437
23	152	6183
24	152	5948
25	153	5732
26	153	5531
27	153	5345
28	154	5171
29	154	5009
30	155	4859
31	155	4717
32	156	4583
33	156	4458
34	157	4339
35	157	4227
36	158	4121
37	158	4021
38	159	3925
39	159	3834
40	160	3748
41	160	3669
42	161	3591
43	161	3517
44	162	3446
45	162	3378
46	163	3314
47	163	3251
48	164	3191
49	164	3133
50	165	3078
51	165	3025
52	166	2973
53	166	2923
54	167	2875
55	167	2829
56	168	2785
57	168	2742
58	169	2700
59	169	2659
60	170	2620
61	170	2583
62	171	2546
63	171	2511
64	172	2477
65	172	2444
66	173	2412
67	173	2377
68	173	2347
69	174	2317
70	174	2289
71	175	2261
72	175	2234
73	176	2207
74	176	2181
75	177	2156
76	177	2131
77	178	2107
78	178	2084
79	179	2061
80	179	2039
81	180	2017
82	180	1996
83	181	1975
84	181	1953
85	181	1933
86	182	1912
87	182	1894
88	183	1875
89	183	1857
90	184	1839
91	184	1823
92	185	1806
93	185	1789
94	186	1773
95	186	1757
96	187	1741
97	187	1725
98	187	1710
99	188	1696
100	188	1681
101	189	1665
102	189	1651
103	190	1637
104	190	1624
105	191	1611
106	191	1598
107	191	1585
108	192	1573
109	192	1561
110	193	1549
111	193	1537
112	194	1525
113	194	1514
114	195	1503
115	195	1491
116	196	1480
117	196	1470
118	197	1459
119	197	1448
120	198	1438
121	198	1428
122	198	1417
123	199	1407
124	199	1397
125	200	1388
126	200	1379
127	200	1368
128	201	1359
129	201	1350
130	202	1342
131	202	1333
132	203	1325
133	203	1316
134	204	1308
135	204	1300
136	205	1292
137	205	1283
138	206	1276
139	206	1268
140	207	1261
141	207	1253
142	207	1246
143	208	1238
144	208	1231
145	209	1224
146	209	1217
147	210	1210
148	210	1203
149	211	1196
150	211	1190
151	212	1183
152	212	1176
153	213	1170
154	213	1163
155	213	1157
156	214	1151
157	214	1145
158	215	1139
159	215	1133
160	216	1127
161	216	1121
162	217	1115
163	217	1109
164	218	1104
165	218	1099
166	219	1093
167	219	1088
168	220	1082
169	220	1077
170	221	1072
171	221	1067
172	222	1062
173	222	1056
174	223	1051
175	223	1046
176	224	1041
177	224	1036
178	224	1031
179	225	1027
180	225	1021
181	226	1016
182	226	1012
183	227	1007
184	227	1002
185	228	998
186	228	993
187	229	989
188	229	984
189	229	980
190	230	975
191	230	971
192	231	967
193	231	963
194	232	958
195	232	954
196	233	950
197	233	946
198	234	942
199	234	938
200	235	934
201	235	930
202	236	926
203	236	922
204	236	919
205	237	915
206	237	911
207	238	907
